face_image_path,cell
data/saved_images\cell_1_img_100.png,1
data/saved_images\cell_1_img_101.png,1
data/saved_images\cell_1_img_102.png,1
data/saved_images\cell_1_img_103.png,1
data/saved_images\cell_1_img_104.png,1
data/saved_images\cell_1_img_105.png,1
data/saved_images\cell_1_img_106.png,1
data/saved_images\cell_1_img_107.png,1
data/saved_images\cell_1_img_108.png,1
data/saved_images\cell_1_img_109.png,1
data/saved_images\cell_1_img_110.png,1
data/saved_images\cell_1_img_111.png,1
data/saved_images\cell_1_img_112.png,1
data/saved_images\cell_1_img_113.png,1
data/saved_images\cell_1_img_114.png,1
data/saved_images\cell_1_img_115.png,1
data/saved_images\cell_1_img_116.png,1
data/saved_images\cell_1_img_117.png,1
data/saved_images\cell_1_img_118.png,1
data/saved_images\cell_1_img_119.png,1
data/saved_images\cell_1_img_120.png,1
data/saved_images\cell_1_img_121.png,1
data/saved_images\cell_1_img_122.png,1
data/saved_images\cell_1_img_123.png,1
data/saved_images\cell_1_img_124.png,1
data/saved_images\cell_1_img_125.png,1
data/saved_images\cell_1_img_126.png,1
data/saved_images\cell_1_img_127.png,1
data/saved_images\cell_1_img_128.png,1
data/saved_images\cell_1_img_129.png,1
data/saved_images\cell_1_img_130.png,1
data/saved_images\cell_1_img_131.png,1
data/saved_images\cell_1_img_132.png,1
data/saved_images\cell_1_img_133.png,1
data/saved_images\cell_1_img_134.png,1
data/saved_images\cell_1_img_135.png,1
data/saved_images\cell_1_img_136.png,1
data/saved_images\cell_1_img_137.png,1
data/saved_images\cell_1_img_138.png,1
data/saved_images\cell_1_img_139.png,1
data/saved_images\cell_1_img_140.png,1
data/saved_images\cell_1_img_141.png,1
data/saved_images\cell_1_img_142.png,1
data/saved_images\cell_1_img_143.png,1
data/saved_images\cell_1_img_144.png,1
data/saved_images\cell_1_img_145.png,1
data/saved_images\cell_1_img_146.png,1
data/saved_images\cell_1_img_147.png,1
data/saved_images\cell_1_img_148.png,1
data/saved_images\cell_1_img_149.png,1
data/saved_images\cell_1_img_150.png,1
data/saved_images\cell_1_img_151.png,1
data/saved_images\cell_1_img_152.png,1
data/saved_images\cell_1_img_153.png,1
data/saved_images\cell_1_img_154.png,1
data/saved_images\cell_1_img_155.png,1
data/saved_images\cell_1_img_156.png,1
data/saved_images\cell_1_img_157.png,1
data/saved_images\cell_1_img_158.png,1
data/saved_images\cell_1_img_159.png,1
data/saved_images\cell_1_img_160.png,1
data/saved_images\cell_1_img_161.png,1
data/saved_images\cell_1_img_162.png,1
data/saved_images\cell_1_img_163.png,1
data/saved_images\cell_1_img_164.png,1
data/saved_images\cell_1_img_165.png,1
data/saved_images\cell_1_img_166.png,1
data/saved_images\cell_1_img_167.png,1
data/saved_images\cell_1_img_168.png,1
data/saved_images\cell_1_img_169.png,1
data/saved_images\cell_1_img_170.png,1
data/saved_images\cell_1_img_171.png,1
data/saved_images\cell_1_img_172.png,1
data/saved_images\cell_1_img_173.png,1
data/saved_images\cell_1_img_174.png,1
data/saved_images\cell_1_img_175.png,1
data/saved_images\cell_1_img_176.png,1
data/saved_images\cell_1_img_177.png,1
data/saved_images\cell_1_img_178.png,1
data/saved_images\cell_1_img_179.png,1
data/saved_images\cell_1_img_180.png,1
data/saved_images\cell_1_img_181.png,1
data/saved_images\cell_1_img_182.png,1
data/saved_images\cell_1_img_183.png,1
data/saved_images\cell_1_img_184.png,1
data/saved_images\cell_1_img_185.png,1
data/saved_images\cell_1_img_186.png,1
data/saved_images\cell_1_img_187.png,1
data/saved_images\cell_1_img_188.png,1
data/saved_images\cell_1_img_189.png,1
data/saved_images\cell_1_img_190.png,1
data/saved_images\cell_1_img_191.png,1
data/saved_images\cell_1_img_192.png,1
data/saved_images\cell_1_img_193.png,1
data/saved_images\cell_1_img_194.png,1
data/saved_images\cell_1_img_195.png,1
data/saved_images\cell_1_img_196.png,1
data/saved_images\cell_1_img_197.png,1
data/saved_images\cell_1_img_198.png,1
data/saved_images\cell_1_img_199.png,1
data/saved_images\cell_2_img_100.png,2
data/saved_images\cell_2_img_101.png,2
data/saved_images\cell_2_img_102.png,2
data/saved_images\cell_2_img_103.png,2
data/saved_images\cell_2_img_104.png,2
data/saved_images\cell_2_img_105.png,2
data/saved_images\cell_2_img_106.png,2
data/saved_images\cell_2_img_107.png,2
data/saved_images\cell_2_img_108.png,2
data/saved_images\cell_2_img_109.png,2
data/saved_images\cell_2_img_110.png,2
data/saved_images\cell_2_img_111.png,2
data/saved_images\cell_2_img_112.png,2
data/saved_images\cell_2_img_113.png,2
data/saved_images\cell_2_img_114.png,2
data/saved_images\cell_2_img_115.png,2
data/saved_images\cell_2_img_116.png,2
data/saved_images\cell_2_img_117.png,2
data/saved_images\cell_2_img_118.png,2
data/saved_images\cell_2_img_119.png,2
data/saved_images\cell_2_img_120.png,2
data/saved_images\cell_2_img_121.png,2
data/saved_images\cell_2_img_122.png,2
data/saved_images\cell_2_img_123.png,2
data/saved_images\cell_2_img_124.png,2
